trial,score,validity_rate,delivery_fraction,avg_cost,n_runs,n_valid,elapsed_s,pruned,base_penalty_factor,omega2_over_omega1,p_origin_penalty_w,p_delivery_once_w,p_position_once_w,p_dest_inclusion_w,p_consecutiveness_w,p_capacity_w,reward_regular,reward_tp_depot,reward_depot_tp
0,461.34682714140746,1.0,1.0,461.34682714140746,10,10,4.745309114456177,False,3.6621746474194996,0.8627358286640178,3.061978796339918,5.190609389379256,2.0921304830970557,0.7083786293111903,0.3265260874559779,6.996321093312014,1.8033450352296265,2.1242177333881367,0.06175348288740734
1,1000000000.0,0.0,0.0,0.0,10,0,10.795564889907837,False,28.831005765547808,0.6053448468001081,1.2431868873739664,2.272774770449704,2.283831568974037,1.2865447475421972,2.1465500833657276,3.739587639815868,0.8736874205941257,1.8355586841671383,0.4184815819561255
2,1000000000.0,0.0,0.0,0.0,10,0,11.139232158660889,False,2.7524631377335904,0.1498365454855079,2.0962449447596256,6.496231729751095,2.3977164751085183,2.1055143098130853,2.410416818561966,0.8483780953999829,1.822634555704315,0.5115723710618746,0.19515477895583855
3,1000000000.0,0.0,0.0,0.0,10,0,13.205221176147461,False,26.804952738183598,0.902165560356813,3.329390718407614,3.132296384213595,1.683704798044687,2.768508803397412,1.8165947255844452,1.415286761335841,1.4855307303338106,0.10316556334565519,2.7279612062363463
4,1000000000.0,0.0,0.0,0.0,10,0,13.600458860397339,False,2.4518996051190225,0.36385753170854673,1.5909887663129383,4.640476148244676,4.826971955402957,0.8209323765495554,3.881380048281778,6.313496175208359,2.8184968246925672,2.6844820512829464,1.7936999364332555
5,1000000000.0,0.0,0.0,0.0,10,0,14.989787101745605,False,24.40950569715374,0.06517805612564438,1.1859400184670081,1.3165910223737665,3.2773123153428503,1.6158414297889798,1.1582612239181942,6.71553131863947,1.0702599800807677,0.8428035290621423,1.6280882494747453
6,449.43546919308875,1.0,1.0,449.43546919308875,10,10,2.506176471710205,False,1.6297166185747622,0.5529073188281501,0.7609272528791979,7.908208556203621,6.405713385076602,0.8749911579832723,0.12153625678204936,6.615960713411257,2.120572031542851,2.1870215041229617,2.3138110400578373
7,444.008519515569,1.0,1.0,444.008519515569,10,10,2.3836512565612793,False,1.292552839158203,0.14633380642745356,0.905541708337954,7.041723981129155,5.363086887792905,1.3905022969253318,0.34787756611549214,2.8323674128674665,0.9755499660802411,2.1888185350141924,1.9126724140656393
8,1000000000.0,0.0,0.0,0.0,10,0,12.790146350860596,False,21.64652763840048,0.20574807773456674,0.918579860784056,5.992713510560965,6.325495340318282,2.2889810705210354,3.106772001822788,4.20346697273293,1.568198488145982,1.282623055075649,0.07625738023228557
9,468.16785810806306,1.0,1.0,468.16785810806306,10,10,2.3784148693084717,False,1.453425511659038,0.054936415317897,2.7274364394232316,3.2004918675342866,4.559994838152919,3.6395092483117626,1.0722396936806122,3.577871922767223,2.266653415629146,0.6863944964748674,0.23093972948637898
10,1000000000.0,0.0,0.0,0.0,10,0,12.55580759048462,False,2.7297281166089666,0.08104453503601766,3.753941783199006,6.656842656950919,5.433826295572964,3.498696301732099,3.2343210999065466,1.8992754416452688,2.677676995469933,1.6180267257469523,2.4223204654921875
